id,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_duration_ms,track_time_signature
6EGdi8mN7xNXKqjonxloqe,0.587,0.802,0,-6.645,1,0.3,0.31,0,0.953,0.358,67.301,285160,4
35SyZI5BZyBrraebGUoUqB,0.612,0.968,1,-6.315,0,0.224,0.0533,0,0.375,0.158,91.937,181563,4
3gxKCBisGDEcv4kDNyFocz,0.583,0.935,9,-6.256,1,0.244,0.0743,0,0.0433,0.791,173.175,266194,4
0841pNYHbsNCCY7G71AtYV,0.601,0.958,9,-4.799,1,0.147,0.0314,0,0.44,0.801,171.965,238630,4
7gAhld03FKlbh6BechLgZX,0.548,0.88,2,-3.703,1,0.0562,0.0605,0,0.158,0.859,149.954,215323,4
5b3DIRiRaLaYGJrhJoEsMu,0.505,0.902,2,-5.816,1,0.118,0.0818,0,0.0854,0.703,90.54,275751,4
0otBCSlWywlrpnaJAHUsti,0.681,0.722,8,-6.917,1,0.112,0.0664,0,0.306,0.571,78.014,231075,1
12lHnn6uSkddkdnZJwOSQH,0.617,0.534,6,-12.408,0,0.0411,0.333,0,0.103,0.639,81.946,327395,4
4vZ6bJpyFafpjBHzh4pgn4,0.727,0.783,5,-7.002,1,0.0401,0.474,0,0.263,0.523,90.994,230219,4
4BJe6ogmrq9J0fU0Bxll8e,0.53,0.974,5,-5.109,0,0.105,0.00397,0,0.0796,0.466,105.832,132316,4
5scK80Nrz12oGUnQGcPgg1,0.589,0.661,6,-8.955,0,0.21,0.0439,0,0.0968,0.382,108.035,196200,4
5eS43KfdjIfUWxAXpfXT8x,0.78,0.869,1,-5.372,1,0.275,0.112,0,0.287,0.692,87.663,225293,4
26qKlzyPOmil2epcFPD246,0.646,0.9,11,-6.005,1,0.154,0.697,0,0.438,0.93,215.126,172573,4
6bZ0rZjVyTWgiiwrQIYpwZ,0.769,0.824,7,-7.682,1,0.0805,0.0298,0,0.0209,0.829,113.944,113227,4
5E3dZEDUQ0Ja5SNTj268oD,0.58,0.739,4,-7.586,0,0.091,0.0308,0,0.162,0.696,109.575,175043,4
0cuJv0ZLfTp6XY77fXSA6N,0.701,0.934,6,-6.097,0,0.247,0.36,0,0.356,0.627,104.121,266867,4
4SrQMW92qYCoVrS4A7Ml34,0.724,0.857,4,-10.13,1,0.0805,0.462,0,0.628,0.922,176.395,121867,4
4WHHXWMlTiLRaw37SbEvVr,0.712,0.885,4,-7.371,0,0.0835,0.583,0,0.108,0.704,103.633,315827,4
6Eg6mlmavrJxtMGW5HxMUb,0.549,0.945,1,-4.534,1,0.295,0.00636,0,0.106,0.453,105.3,185360,4
11ZRq9Zv2tU4fm5hJTzfiv,0.722,0.723,11,-9.156,1,0.286,0.0387,0,0.125,0.693,135.851,334000,4
59ONqMEvrUq2iaiQbfRc3q,0.645,0.535,4,-8.555,1,0.0286,0.157,0,0.72,0.5,136.464,212493,4
0SrDqCmn2ClzEzNkAZYc2Y,0.782,0.705,11,-9.16,0,0.038,0.416,0,0.0743,0.902,116.967,213933,4
0228dbbfbyvjsjKus9KAS5,0.657,0.326,4,-9.194,1,0.0299,0.768,0,0.0892,0.476,132.243,202475,4
44BxEH341a9zeJq2z1UDdc,0.679,0.781,2,-11.561,1,0.0654,0.00321,0,0.146,0.691,148.105,267133,4
